Shipment_ID,Week,Warehouse_ID,Store_ID,Carrier,Product_Category,Weight_kg,Delivery_Time_hrs,Fuel_Price_EUR_per_litre,Temperature_C,Promo_Flag,On_Time_Flag,Weekly_Sales_EUR,Notes,Dispatch_Time,Planned_Arrival_Time,Actual_Arrival_Time
SH00245,2024-04-21,D,S05,C3,Grocery,19.82,27.2,1.84,4.9,0,0,41964.11,,,,
SH00246,2024-01-21,B,S03,C3,Grocery,10.38,31.8,1.66,5.0,0,0,43558.05,Driver delay,,,
SH00247,2024-05-05,D,S12,C4,Grocery,12.36,30.6,1.65,8.1,0,0,76067.92,,,,
SH00248,2024-04-07,A,S09,C1,Frozen,13.67,34.7,1.68,3.1,0,0,63046.21,Driver delay,,,
SH00249,2024-05-05,A,S01,C1,Electronics,0,34.6,1.89,8.5,0,0,42438.15,,,,
SH00250,2024-01-14,A,S01,C1,Electronics,10.46,29.8,1.74,,1,0,64126.17,Partial delivery,,,
SH00251,2024-01-21,C,S01,C3,Electronics,16.04,23.6,1.7,,0,1,50056.28,,,,
SH00252,2024-04-21,B,S03,C1,Electronics,22.21,25.3,1.65,,0,0,76518.28,Damaged carton,,,
SH00253,2024-03-03,A,S12,C3,Electronics,16.9,27.6,1.75,4.0,1,0,46994.48,,,,
SH00254,2024-01-28,A,S06,C4,Clothing,14.72,33.4,1.77,1.3,0,0,28916.66,,,,
SH00255,2024-01-07,B,S10,C4,Clothing,10.01,25.7,1.59,5.5,0,0,49198.73,Partial delivery,,,
SH00256,2024-01-28,A,S11,C2,Grocery,21.57,26.1,1.77,3.2,1,0,47002.69,Damaged carton,,,
SH00257,2024-01-07,D,S03,C1,Electronics,17.6,37.2,1.68,5.6,0,0,31851.6,Partial delivery,,,
SH00258,2024-04-07,B,S08,C4,Electronics,10.76,27.5,1.7,2.4,0,0,60788.68,Partial delivery,,,
SH00259,2024-04-21,B,S10,C3,Frozen,20.39,24.8,1.61,,0,0,73370.78,,,,
SH00260,2024-05-19,B,S02,C1,Electronics,18.36,31.9,1.66,6.5,0,0,35162.74,Damaged carton,,,
SH00261,2024-02-25,D,S09,C1,Electronics,10.12,27.7,1.6,3.6,0,0,66590.66,Damaged carton,,,
SH00262,2024-02-18,B,S03,C4,Grocery,14.39,21.1,1.59,5.7,0,0,42900.54,,,,
SH00263,2024-01-21,D,S05,C3,Electronics,12.04,381.3656883091508,1.74,5.2,1,0,51629.22,,,,
SH00264,2024-04-28,B,S10,C4,Grocery,30.8,24.3,1.66,8.0,1,1,50053.42,Damaged carton,,,
SH00265,2024-01-07,C,S08,C4,Grocery,18.19,28.2,1.57,2.9,1,1,51629.34,Partial delivery,,,
SH00266,2024-04-21,A,S02,C3,Grocery,16.12,27.7,1.92,4.7,1,0,59096.24,,,,
SH00267,2024-03-24,C,S06,C2,Clothing,17.84,29.2,1.59,3.7,1,0,36637.26,,,,
SH00268,2024-05-12,A,S12,C2,Grocery,23.27,17.0,1.81,5.1,0,0,71399.5,,,,
SH00269,2024-04-07,D,S05,C2,Grocery,14.5,26.3,1.55,6.1,0,1,59553.14,,,,
SH00270,2024-02-11,C,S10,C2,Frozen,11.46,33.6,1.75,3.7,0,0,64533.74,,,,
SH00271,2024-02-11,B-X,S09###,C3,Grocery,20.07,34.3,1.67,4.3,1,0,40299.01,,,,
SH00272,2024-03-31,A,S12,C3,Electronics,13.95,23.0,1.64,6.9,0,1,35278.39,,,,
SH00273,2024-05-12,A,S05,C4,Electronics,8.58,,1.72,7.7,0,0,69740.7,,,,
SH00274,2024-02-25,C,S02,C2,Grocery,,-32.43553887518954,1.71,6.0,0,0,34633.76,Partial delivery,,,
SH00275,2024-01-14,D,S05,C3,Clothing,24.18,26.1,1.62,,0,1,54239.58,,,,
SH00276,2024-01-07,C,S12,C3,Grocery,0,26.4,1.61,4.5,0,0,67284.94,,,,
SH00277,2024-04-14,D,S04,C3,Electronics,11.46,28.5,1.54,6.1,0,1,50097.97,,,,
SH00278,2024-01-07,D,S11,C3,Electronics,13.59,33.0,1.73,5.5,0,0,69551.16,Partial delivery,,,
SH00279,2024-02-04,A,S07,C1,Electronics,19.84,29.3,,1.7,0,1,47926.63,Driver delay,,,
SH00280,2024-04-21,C,S06,C2,Clothing,??,N/A,,6.1,0,0,32838.73,,,,
SH00281,2024-05-12,C,S02,C1,Grocery,6.3,32.8,1.76,3.3,0,1,57612.59,,,,
SH00282,2024-01-28,D,S12,C2,Grocery,16.96,24.0,1.72,2.2,0,0,54974.44,,,,
SH00283,2024-01-21,C,S11,C2,Clothing,22.25,27.6,1.63,,0,0,92319.64,,,,
SH00284,2024-04-28,B,S11,C3,Electronics,21.85,33.0,1.79,4.6,0,0,37823.37,,,,
SH00285,2024-04-28,B,S05,C4,Clothing,11.64,30.6,1.66,3.0,1,0,48222.29,,,,
SH00286,2024-03-24,C,S07,C3,Clothing,22.62,25.7,1.57,0.3,0,0,41037.02,,,,
SH00287,2024-04-07,C,S11,C3,Clothing,16.28,20.4,1.67,4.3,0,0,49862.73,Partial delivery,,,
SH00288,2024-02-11,D,S07,C2,Electronics,22.45,29.6,1.76,4.0,0,0,49257.96,Driver delay,,,
SH00289,2024-01-21,B,S05,C3,Grocery,18.44,20.1,1.63,4.7,0,0,38915.5,Damaged carton,,,
SH00290,2024-03-03,B,S12,C1,Clothing,5.87,253.8824667597043,1.79,3.7,1,0,59023.56,,,,
SH00291,2024-02-04,A,S09,C1,Electronics,25.48,33.9,1.62,8.7,0,1,48787.84,,,,
SH00292,2024-04-28,D,S04,C2,Grocery,15.31,31.0,1.64,6.0,0,0,72182.24,Damaged carton,,,
SH00293,2024-04-07,A,S11,C2,Frozen,18.46,306.18691666342727,1.6,4.0,0,0,42271.64,Driver delay,,,
SH00294,2024-01-21,B,S03,C1,Frozen,6.94,29.0,1.77,4.9,1,0,79920.6,,,,
SH00295,2024-01-07,D,S04,C1,Electronics,18.03,26.4,1.69,7.8,0,0,56138.11,Driver delay,,,
SH00296,2024-05-19,C,S05,C1,Grocery,21.62,21.6,1.6,6.9,0,0,71070.0,,,,
SH00297,2024-01-07,D,S06,C4,Grocery,0,29.7,1.66,2.2,0,0,53731.8,Damaged carton,,,
SH00298,2024-01-21,C,S03,C2,Clothing,23.4,25.5,,,1,1,40290.18,Driver delay,,,
SH00299,2024-05-05,C,S02,C2,Frozen,18.33,-13.911924270533016,1.78,3.4,0,0,48047.19,Damaged carton,,,
SH00300,2024-03-10,D,S04,C1,Grocery,5.73,28.6,1.68,4.1,0,0,31198.48,Partial delivery,,,
SH00301,2024-01-21,C,S05,C3,Grocery,15.79,24.9,1.46,,0,0,50327.0,Driver delay,,,
SH00302,2024-02-25,A,S04,C1,Frozen,11.44,28.5,1.55,5.1,0,0,54581.39,,,,
SH00303,2024-04-07,B,S11,C1,Grocery,16.41,25.0,1.66,6.5,0,0,52685.84,,,,
SH00304,2024-05-05,C,S12,C2,Electronics,7.7,25.3,1.57,6.8,0,0,71952.36,Damaged carton,,,
SH00305,2024-04-14,A,S03,C1,Frozen,13.74,33.0,1.78,,0,0,49762.99,,,,
SH00306,2024-01-14,C,S08,C1,Grocery,11.9,33.5,1.74,1.7,1,0,23590.1,,,,
SH00307,2024-03-10,B,S10,C1,Electronics,11.71,336.14109031095336,1.74,2.9,0,0,105160.98,Partial delivery,,,
SH00308,2024-01-14,A,S04,C1,Grocery,11.77,31.7,1.44,,0,1,41640.87,,,,
SH00309,2024-04-28,B,S02,C1,Grocery,14.18,35.0,1.65,2.5,0,0,66531.18,,,,
SH00310,2024-02-25,B,S02,C2,Clothing,16.72,-29.14667692496119,1.63,7.3,0,0,29436.3,,,,
SH00311,2024-01-07,A,S01,C4,Electronics,0.5,30.6,,2.6,1,0,55678.18,,,,
SH00312,2024-03-03,A,S04,C3,Frozen,0.74,22.7,1.66,6.2,0,0,40081.81,Damaged carton,,,
SH00313,2024-03-17,A,S10,C2,Electronics,12.97,31.1,1.59,1.6,0,1,9660.48,,,,
SH00314,2024-04-21,D,S09,C1,Grocery,13.81,23.7,1.72,6.3,1,0,47757.85,,,,
SH00315,2024-02-18,A,S11,C4,Grocery,16.13,26.3,1.78,4.7,0,0,51249.02,Driver delay,,,
SH00316,2024-03-10,A,S07,C2,Grocery,10.63,29.9,1.77,8.0,1,1,48716.71,,,,
SH00317,2024-01-21,A,S12,C1,Grocery,15.06,-10.48080250976362,1.69,2.7,0,0,55646.7,Damaged carton,,,
SH00318,2024-05-05,A,S10,C3,Grocery,15.76,206.61014658010967,,3.9,1,0,47957.38,Driver delay,,,
SH00319,2024-03-31,C,S07,C1,Grocery,??,??,1.81,4.3,0,0,53037.25,,,,
SH00320,2024-02-18,D,S07,C2,Electronics,21.08,-18.42845785331852,1.69,4.7,0,0,54551.68,Partial delivery,,,
SH00321,2024-01-28,B,S08,C2,Clothing,16.06,34.2,1.65,4.3,1,0,51472.33,Partial delivery,,,
SH00322,2024-03-31,A,S01,C4,Clothing,18.28,326.87026894027275,1.83,4.3,0,0,49438.36,Partial delivery,,,
SH00323,2024-05-19,C,S10,C2,Clothing,15.41,32.9,1.8,4.3,0,0,38595.2,Damaged carton,,,
SH00324,2024-01-07,C,S10,C3,Grocery,27.62,31.2,1.56,0.9,0,0,60916.68,,,,
SH00325,2024-02-25,C,S08,C4,Grocery,18.58,30.2,1.81,7.0,1,0,47755.04,,,,
SH00326,2024-04-07,B,S04,C1,Clothing,12.07,32.5,1.68,10.7,0,0,46542.61,Driver delay,,,
SH00327,2024-04-21,A,S04,C1,Electronics,19.93,-22.12418168449556,1.61,5.6,1,0,59684.41,,,,
SH00328,2024-04-07,D,S04,C2,Grocery,5.17,-1.6617516676089694,1.5,2.7,0,0,55179.37,,,,
SH00329,2024-03-24,D,S06,C2,Clothing,15.72,27.6,1.67,2.9,0,1,41526.7,,,,
SH00330,2024-05-12,C,S07,C2,Clothing,16.91,28.4,1.7,6.2,1,1,70759.88,,,,
SH00331,2024-04-14,B,S06,C4,Electronics,15.79,25.7,1.86,5.8,0,1,34161.64,Partial delivery,,,
SH00332,2024-01-14,B,S01,C3,Grocery,13.0,30.6,1.8,4.4,0,1,36527.88,,,,
SH00333,2024-01-14,B,S12,C3,Clothing,,23.9,1.64,6.5,0,0,62025.31,,,,
SH00334,2024-05-12,D-X,S08_err,C2,Electronics,10.26,25.3,1.74,0.9,0,0,78267.03,Driver delay,,,
SH00335,2024-04-28,C,S10,C4,Clothing,15.61,24.7,1.78,6.5,0,0,43338.97,,,,
SH00336,2024-05-19,A,S11,C4,Clothing,8.32,-10.543877562534162,1.71,5.5,1,0,58192.32,Driver delay,,,
SH00337,2024-03-10,D,S07,C4,Clothing,25.62,27.9,1.64,3.0,0,0,34114.55,Driver delay,,,
SH00338,2024-02-11,C,S06,C1,Electronics,0.5,-30.344640262288284,1.65,2.1,0,0,38065.22,,,,
SH00339,2024-04-14,C,S06,C3,Grocery,13.06,26.1,1.74,,0,0,68982.97,Driver delay,,,
SH00340,2024-03-17,A,S05,C1,Clothing,15.66,28.0,1.74,7.8,0,1,57486.45,Driver delay,,,
SH00341,2024-02-04,A,S06,C1,Electronics,18.04,36.1,,4.5,0,0,69448.45,,,,
SH00342,2024-01-07,A,S12,C1,Clothing,9.5,21.8,1.44,3.3,1,0,68294.63,,,,
SH00343,2024-02-25,B,S09,C3,Grocery,21.81,31.4,,5.4,0,1,20656.75,Damaged carton,,,
SH00344,2024-03-24,A,S10,C3,Grocery,6.64,30.4,1.76,8.6,0,0,34060.68,,,,
SH00345,2024-03-24,C,S09,C1,Frozen,11.6,23.6,1.49,5.9,0,0,56117.14,Partial delivery,,,
SH00346,2024-02-04,A,S10,C2,Clothing,18.72,-7.548578357076157,1.82,6.1,0,0,26543.65,,,,
SH00347,2024-02-18,C,S08,C2,Frozen,21.24,30.7,1.8,7.4,1,0,36185.42,Partial delivery,,,
SH00348,2024-01-28,D,S10,C2,Clothing,,25.5,1.7,5.9,0,0,73404.51,Damaged carton,,,
SH00349,2024-02-11,B,S09,C1,Electronics,30.87,18.7,1.76,3.4,0,0,43876.51,Partial delivery,,,
SH00350,2024-03-31,D,S10,C2,Clothing,9.62,29.1,1.75,,0,0,62654.48,Driver delay,,,
SH00351,2024-05-19,D,S08,C3,Frozen,,27.8,1.69,3.2,0,0,51577.48,Damaged carton,,,
SH00352,2024-04-14,C,S08,C1,Electronics,18.02,-22.457124812696783,1.56,,0,1,41800.96,,,,
SH00353,2024-01-21,D,S01,C1,Electronics,12.91,-27.47395188289003,1.8,6.3,0,1,27036.86,Driver delay,,,
SH00354,2024-02-25,C,S10,C2,Grocery,12.02,32.3,1.84,6.6,1,0,55499.53,Partial delivery,,,
SH00355,2024-05-19,A,S11,C4,Electronics,18.57,18.2,1.58,5.4,1,0,73819.08,,,,
SH00356,2024-04-21,A,S05,C3,Clothing,,273.9308912122809,1.56,2.5,0,1,42227.09,,,,
SH00357,2024-03-31,C,S04,C3,Grocery,4.79,27.1,1.69,8.6,0,1,53028.98,,,,
SH00358,2024-05-05,A,S02,C2,Grocery,11.42,30.5,1.64,4.2,0,1,29203.17,,,,
SH00359,2024-03-10,B,S08,C3,Grocery,21.47,26.5,1.71,6.2,1,1,41917.37,Damaged carton,,,
SH00360,2024-05-12,D,S03,C1,Grocery,11.68,29.5,1.82,5.1,1,0,57113.22,,,,
SH00361,2024-04-28,B,S04,C3,Grocery,0,24.3,1.48,5.4,0,0,63155.74,Driver delay,,,
SH00362,2024-05-12,D,S12,C4,Electronics,22.21,27.8,1.86,6.1,0,0,60339.23,Driver delay,,,
SH00363,2024-02-04,A,S07,C3,Frozen,16.7,248.43198765548516,1.66,3.6,0,0,21526.73,,,,
SH00364,2024-03-03,B,S10,C4,Electronics,17.04,28.8,1.75,7.6,0,0,45145.98,,,,
SH00365,2024-03-24,A,S09,C3,Grocery,16.69,29.9,1.76,1.8,0,0,37490.78,,,,
SH00366,2024-01-07,D,S02,C1,Grocery,15.96,23.4,1.77,2.9,0,0,47364.58,Driver delay,,,
SH00367,2024-01-07,C,S03,C4,Clothing,12.8,25.0,1.71,7.6,0,0,50332.13,Damaged carton,,,
SH00368,2024-04-14,C,S04,C1,Grocery,13.5,25.1,1.73,,0,0,67995.28,,,,
SH00369,2024-01-14,B,S10,C2,Clothing,,26.6,1.73,10.1,0,0,56428.56,,,,
SH00370,2024-04-21,A,S01,C1,Clothing,1.74,279.76488848891063,1.64,5.1,0,0,73267.48,,,,
SH00371,2024-02-25,A,S07,C1,Clothing,??,??,1.52,8.4,0,0,41507.35,Partial delivery,,,
SH00372,2024-03-31,B,S02,C2,Grocery,15.94,-28.790996022263176,1.58,1.3,0,0,30743.85,Partial delivery,,,
SH00373,2024-01-07,C,S05,C1,Clothing,15.04,30.7,1.69,2.2,0,1,73828.64,,,,
SH00374,2024-04-21,D,S01,C2,Grocery,17.39,34.7,1.62,6.8,0,0,58501.83,,,,
SH00375,2024-02-18,B,S03,C3,Frozen,10.03,21.7,1.62,1.5,0,0,40850.92,,,,
SH00376,2024-02-04,D,S12,C1,Electronics,8.99,37.9,1.88,4.6,0,0,58567.34,Driver delay,,,
SH00377,2024-01-21,C,S02,C1,Grocery,13.3,30.1,1.79,,0,0,64528.89,Driver delay,,,
SH00378,2024-03-24,A,S01,C3,Grocery,23.21,-44.003104750557696,1.67,6.0,0,0,53787.86,,,,
SH00379,2024-04-21,C,S07,C2,Grocery,7.99,35.3,1.77,5.0,0,0,41064.45,Partial delivery,,,
SH00380,2024-05-12,B,S05,C3,Clothing,,32.9,1.66,4.1,0,0,45381.06,,,,
SH00381,2024-02-04,A,S01,C3,Grocery,11.87,27.4,1.71,5.4,0,0,56359.32,,,,
SH00382,2024-04-07,B,S06,C4,Electronics,21.86,,,6.2,0,0,54983.32,,,,
SH00383,2024-02-04,B,S05,C3,Grocery,4.6,29.3,1.66,3.7,0,1,70183.9,Partial delivery,,,
SH00384,2024-04-14,C,S03,C2,Clothing,7.92,33.5,1.63,,0,0,47861.35,,,,
SH00385,2024-04-28,B,S12,C3,Clothing,16.58,34.0,1.82,7.2,0,0,37543.59,,,,
SH00386,2024-04-07,C,S07,C1,Clothing,30.42,22.5,1.76,4.6,0,0,90655.81,,,,
SH00387,2024-05-19,A,S11,C2,Clothing,6.85,32.0,1.47,5.1,0,0,54617.32,Partial delivery,,,
SH00388,2024-02-04,C,S10,C3,Grocery,,27.1,1.63,6.0,0,0,64513.94,,,,
SH00389,2024-03-24,A,S09,C2,Grocery,17.03,28.7,1.62,6.1,1,0,59827.73,,,,
SH00390,2024-04-21,C,S09,C3,Clothing,0,28.6,1.64,6.8,0,0,54798.62,,,,
SH00391,2024-04-21,D,S09,C4,Grocery,11.26,28.4,1.79,3.0,0,0,48583.84,Partial delivery,,,
SH00392,2024-02-18,D,S02,C4,Electronics,5.27,35.6,1.7,3.9,0,0,9942.76,,,,
SH00393,2024-01-28,B,S03,C4,Grocery,0,21.2,,4.0,1,0,36051.68,,,,
SH00394,2024-01-07,C,S07,C2,Grocery,18.69,19.4,1.66,3.2,0,0,56936.79,Damaged carton,,,
SH00395,2024-02-04,C,S05,C2,Grocery,25.67,18.3,1.75,1.4,0,0,11215.4,,,,
SH00396,2024-03-10,A,S02,C3,Frozen,18.94,33.3,1.68,-1.5,1,0,53074.28,Partial delivery,,,
SH00397,2024-02-04,B,S03,C2,Grocery,19.97,24.1,1.64,7.4,0,0,61918.46,,,,
SH00398,2024-01-28,C,S10,C3,Electronics,13.43,28.7,1.73,1.9,1,0,64499.18,Driver delay,,,
SH00399,2024-01-14,B,S06,C3,Grocery,29.65,27.4,1.86,8.1,1,0,60972.33,Partial delivery,,,
SH00400,2024-05-19,D,S07,C3,Clothing,12.61,23.6,1.75,6.5,0,0,66375.88,Partial delivery,,,
SH00401,2024-03-10,C,S09,C2,Grocery,11.33,32.3,1.83,4.2,0,0,76084.17,Damaged carton,,,
SH00402,2024-05-12,C,S01,C1,Frozen,25.86,270.5137712668338,1.64,6.2,0,0,68441.77,,,,
SH00403,2024-01-07,B,S11,C2,Frozen,,26.8,1.7,5.9,0,1,54952.47,,,,
SH00404,2024-02-04,C,S07,C1,Grocery,3.92,29.2,1.7,2.8,0,0,49980.7,,,,
SH00405,2024-03-31,B,S08,C4,Frozen,15.72,31.6,1.71,5.0,0,0,53719.57,,,,
SH00406,2024-01-28,C,S12,C2,Frozen,14.99,23.2,1.74,3.0,0,0,47867.53,Driver delay,,,
SH00407,2024-04-21,A,S03,C1,Clothing,13.63,32.4,1.61,6.3,0,0,68763.71,,,,
SH00408,2024-04-21,B-X,S04###,C1,Clothing,20.96,35.2,1.76,,0,0,60581.5,,,,
SH00409,2024-01-14,C,S10,C3,Grocery,9.55,20.9,1.54,4.8,0,0,46283.85,,,,
SH00410,2024-04-28,D,S06,C3,Electronics,15.39,29.4,1.57,4.7,0,0,71861.32,,,,
SH00411,2024-05-19,C,S10,C2,Grocery,missing,error,1.91,5.2,0,1,47621.82,,,,
SH00412,2024-03-24,D,S07,C1,Grocery,9.65,31.5,1.65,8.3,0,1,37813.43,,,,
SH00413,2024-05-05,D,S04,C2,Frozen,14.63,21.9,1.77,4.5,0,0,51838.86,Partial delivery,,,
SH00414,2024-01-21,A,S08,C2,Grocery,20.12,36.1,1.87,7.4,0,0,39638.0,,,,
SH00415,2024-01-07,B,S05,C3,Clothing,27.72,20.0,1.47,6.0,1,0,66043.09,,,,
SH00416,2024-01-07,C,S01,C3,Clothing,18.48,26.8,1.81,7.8,0,0,39318.52,,INVALID_DATE,INVALID_DATE,INVALID_DATE
SH00417,2024-05-12,A,S04,C2,Frozen,,-32.29835076102234,1.76,4.3,0,0,50269.46,,,,
SH00418,2024-03-17,C,S03,C1,Frozen,14.77,24.6,1.86,6.4,0,1,66095.61,,,,
SH00419,2024-02-04,D,S09,C4,Grocery,15.3,23.8,1.58,4.9,0,0,41316.97,,,,
SH00420,2024-03-24,B,S08,C2,Grocery,20.62,29.1,1.85,-1.0,0,1,58167.15,Partial delivery,,,
SH00421,2024-01-21,C,S01,C3,Electronics,16.11,28.4,1.63,,0,0,37398.77,Damaged carton,,,
SH00422,2024-01-07,C,S11,C1,Grocery,22.52,28.0,1.81,6.2,0,1,55665.75,Partial delivery,,,
SH00423,2024-01-07,D,S06,C2,Grocery,17.35,32.3,1.7,6.0,1,0,60508.7,Driver delay,,,
SH00424,2024-02-25,C,S09,C1,Grocery,24.35,26.0,1.78,2.4,0,0,51367.74,Damaged carton,,,
SH00425,2024-03-10,C,S07,C2,Clothing,12.37,29.6,1.7,5.4,0,0,52502.89,Partial delivery,,,
SH00426,2024-03-17,D-X,S04###,C4,Electronics,15.87,25.5,,6.0,1,0,58659.79,,,,
SH00427,2024-03-24,A,S01,C2,Grocery,19.96,23.8,1.39,4.9,0,0,47792.37,,,,
SH00428,2024-03-31,D,S12,C1,Clothing,11.57,26.6,1.72,,0,0,65343.3,,,,
SH00429,2024-03-24,A,S02,C1,Grocery,10.26,25.5,1.67,6.2,0,0,72567.12,Driver delay,,,
SH00430,2024-04-07,B,S12,C2,Grocery,11.22,25.8,1.74,4.9,0,0,38113.23,Partial delivery,,,
SH00431,2024-01-14,A,S05,C1,Clothing,10.5,33.8,1.67,,0,1,78505.89,,,,
SH00432,2024-05-12,A,S12,C1,Electronics,18.14,26.7,1.9,7.1,0,1,47447.68,,,,
SH00433,2024-05-05,B,S11,C3,Clothing,3.99,264.8690042010548,1.72,5.9,1,0,81915.17,Damaged carton,,,
SH00434,2024-01-21,A,S05,C2,Grocery,,28.1,1.66,2.2,1,0,47651.24,Damaged carton,,,
SH00435,2024-04-28,D,S08,C1,Clothing,26.18,28.5,1.73,5.4,1,0,62610.68,,,,
SH00436,2024-02-25,A,S06,C4,Electronics,10.65,22.1,1.66,2.7,1,0,62530.16,,,,
SH00437,2024-03-10,B,S08,C1,Electronics,16.2,26.5,1.71,3.1,0,0,46190.33,Driver delay,,,
SH00438,2024-01-14,D,S02,C4,Electronics,6.07,26.3,1.58,,0,0,53089.41,Damaged carton,,,
SH00439,2024-05-12,B,S03,C2,Frozen,15.56,27.1,1.7,5.1,0,0,73598.51,Partial delivery,,,
SH00440,2024-03-03,B,S06,C4,Electronics,10.69,31.6,1.65,5.7,0,1,47167.26,,,,
SH00441,2024-02-18,C,S12,C3,Electronics,,28.7,1.59,4.2,1,0,45736.81,,,,
SH00442,2024-01-28,C,S10,C4,Frozen,0,,1.9,4.3,0,0,34697.99,,,,
SH00443,2024-05-05,B,S03,C4,Clothing,22.1,27.9,1.59,4.0,1,0,75513.28,Damaged carton,,,
SH00444,2024-03-31,B,S06,C1,Electronics,14.36,36.9,1.7,7.1,1,0,44788.35,Driver delay,,,
SH00445,2024-03-17,B,S06,C4,Clothing,21.0,25.7,1.62,,1,0,69999.7,,,,
SH00446,2024-01-28,C,S02,C2,Grocery,26.42,24.2,1.73,4.4,1,0,42979.68,,,,
SH00447,2024-01-28,C,S07,C2,Grocery,19.52,30.7,1.57,8.1,0,0,69528.77,Damaged carton,,,
SH00448,2024-03-10,A,S12,C2,Electronics,17.88,34.8,1.78,6.0,0,0,64099.65,,,,
SH00449,2024-02-04,A,S02,C2,Frozen,16.19,21.1,1.9,7.5,0,0,48573.52,,,,
SH00450,2024-03-03,B,S06,C1,Frozen,18.9,27.0,1.62,0.9,0,0,40985.86,,,,
SH00451,2024-01-21,D,S01,C3,Grocery,0,24.9,1.82,2.5,0,0,42204.54,Driver delay,,,
SH00452,2024-04-28,D,S03,C2,Electronics,13.34,28.7,1.66,6.0,1,0,42013.0,,,,
SH00453,2024-01-21,C###,S02###,C3,Grocery,17.71,28.1,1.85,,1,0,67977.75,Damaged carton,,,
SH00454,2024-04-21,C,S07,C4,Frozen,12.16,34.7,1.92,2.7,0,0,54403.46,,,,
SH00455,2024-01-28,C,S04,C2,Frozen,12.81,27.5,1.68,4.2,0,0,35273.16,,,,
SH00456,2024-05-05,B,S08,C2,Electronics,15.0,34.9,1.55,5.8,0,1,48218.0,Damaged carton,,,
SH00457,2024-04-28,D,S06,C1,Clothing,21.9,26.4,1.79,2.1,0,0,50034.7,Partial delivery,,,
SH00458,2024-02-18,A,S12,C1,Clothing,8.2,32.6,1.72,6.0,0,0,19915.17,Damaged carton,,,
SH00459,2024-02-04,B,S10,C1,Electronics,19.56,29.1,1.75,-0.4,0,0,49052.31,Partial delivery,,,
SH00460,2024-03-24,A,S04,C2,Grocery,19.75,36.6,1.67,6.0,0,0,62847.89,,,,
SH00461,2024-04-28,A,S05,C1,Electronics,19.71,-10.345592992173842,1.61,3.0,0,0,49935.58,Partial delivery,,,
SH00462,2024-03-31,B,S09,C4,Clothing,10.16,22.2,1.82,4.1,0,0,55816.1,,,,
SH00463,2024-01-21,A,S07,C3,Clothing,4.84,37.2,1.73,6.3,0,0,59267.7,,,,
SH00464,2024-03-03,D,S10,C2,Grocery,18.36,24.3,1.56,5.9,0,0,46860.97,,,,
SH00465,2024-04-28,A,S09,C3,Frozen,16.13,24.7,1.77,5.0,0,0,62961.32,,,,
SH00466,2024-04-28,D,S07,C1,Grocery,21.03,23.6,1.75,6.9,0,0,73862.26,,,,
SH00467,2024-05-19,D,S12,C2,Electronics,10.8,33.7,1.67,1.6,1,0,29142.12,Damaged carton,,,
SH00468,2024-04-21,D,S01,C3,Clothing,19.56,21.7,1.86,5.4,0,0,46827.25,Partial delivery,,,
SH00469,2024-03-31,C,S12,C2,Clothing,21.33,28.1,1.64,3.4,0,0,86944.26,,,,
SH00470,2024-05-12,A,S08,C2,Electronics,14.43,26.7,1.68,6.8,0,0,54558.48,Partial delivery,,,
SH00471,2024-04-28,B,S04,C4,Grocery,17.5,33.2,1.78,6.4,0,0,51477.22,,,,
SH00472,2024-01-28,B,S03,C4,Grocery,17.29,25.2,1.71,6.4,1,0,48129.36,,,,
SH00473,2024-03-24,A,S07,C3,Electronics,10.07,30.1,1.56,8.3,0,0,71116.53,,,,
SH00474,2024-03-03,C,S12,C3,Electronics,18.19,22.1,1.72,7.3,0,0,37915.1,,,,
SH00475,2024-05-12,C,S03,C3,Grocery,24.73,39.4,1.66,4.7,0,0,65892.62,Driver delay,,,
SH00476,2024-03-24,D,S08,C1,Clothing,15.13,26.8,1.79,5.0,0,0,47848.73,,,,
SH00477,2024-03-03,A,S06,C2,Electronics,,28.0,1.72,6.2,0,0,40752.36,Damaged carton,,,
SH00478,2024-02-18,A,S05,C1,Clothing,10.88,36.3,1.71,5.3,0,0,48533.46,Damaged carton,,,
SH00479,2024-04-07,B,S04,C2,Clothing,4.32,-38.13825040496666,1.6,6.4,0,0,51304.29,,,,
SH00480,2024-05-19,A,S08,C2,Grocery,22.74,36.3,1.68,0.5,0,0,44533.85,Partial delivery,,,
SH00481,2024-05-12,C,S08,C1,Grocery,19.58,25.9,1.8,8.8,0,0,68691.59,,,,
SH00482,2024-04-14,A,S12,C4,Clothing,11.99,31.4,1.62,,0,0,40868.74,Partial delivery,,,
SH00483,2024-04-21,B,S01,C4,Electronics,6.49,25.1,,,0,0,54101.12,,,,
SH00484,2024-02-04,D,S09,C3,Clothing,10.0,21.2,1.61,3.2,0,0,60061.49,,,,
SH00485,2024-01-21,B,S05,C2,Clothing,11.17,30.1,1.58,0.7,0,0,53945.85,Driver delay,,,
SH00486,2024-03-24,B,S04,C4,Clothing,15.66,31.2,1.69,2.8,0,0,63583.45,,,,
SH00487,2024-05-19,D-X,S06 ,C1,Frozen,15.45,21.4,1.72,4.7,0,0,45496.54,,,,
SH00488,2024-01-28,B,S06,C3,Electronics,23.05,26.5,,8.0,0,0,61339.41,,,,
SH00489,2024-04-21,B,S02,C1,Electronics,10.84,34.0,1.65,,0,0,61783.42,,,,
